uniq_id,product_name,description,product_category
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",calibro sw125 analogdigital watch for men boys price rs 699 calibro presents mtg black dial round watch this is a fashionable watch from mtg that adds to your style statement this brand is known for its usage of quality material in making appealing watches it understands the needs of youth so well that it is able to present wide range of watches to its customers the variety in design style and youthful approach is very well executed by this brand get one and see how brilliantly it leads other brands in style finish and everything else that matters calibro presents mtg black dial round watch this is a fashionable watch from mtg that adds to your style statement this brand is known for its usage of quality material in making appealing watches it understands the needs of youth so well that it is able to present wide range of watches to its customers the variety in design style and youthful approach is very well executed by this brand get one and see how brilliantly it leads other brands in style finish and everything else that matters,Watches
08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men",cartier w6701005 analog watch for boys men buy cartier w6701005 analog watch for boys men w6701005 online at rs201000 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",lois caron lcs4032 analog watch for boys men buy lois caron lcs4032 analog watch for boys men lcs4032 online at rs399 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
189fa66a5fa6f08d2802a62ecf0be298,"Titan 1639SL03 Analog Watch  - For Boys, Men",titan 1639sl03 analog watch for boys men buy titan 1639sl03 analog watch for boys men 1639sl03 online at rs1695 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
bbb8cdc5406ff60ff06ff64630f2ca47,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",srushti art jewelry megnetledsportblackred1 digital watch for men women boys girls buy srushti art jewelry megnetledsportblackred1 digital watch for men women boys girls megnetledsportblackred1 online at rs200 in india only at flipkartcom led watch sports led megnet watch fresh arrival latest fancy srushti girlswatch men women boys wrist watches great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
1120bc768623572513df956172ffefeb,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",escort e1700906blk analog watch for men boys price rs 1829 if you have it flaunt it if this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of escort the casing adds more appeal to this timepiece that can be worn on a rainy day all thanks to its water resistance upto 10 atm if you have it flaunt it if this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of escort the casing adds more appeal to this timepiece that can be worn on a rainy day all thanks to its water resistance upto 10 atm,Watches
5479bb7028827d60000720a2c135976a,Jack klein BlackLed Digital Watch  - For Boys,jack klein blackled digital watch for boys buy jack klein blackled digital watch for boys blackled online at rs150 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",north moon iw005fk silicone ion digital watch for boys girls women buy north moon iw005fk silicone ion digital watch for boys girls women iw005fk online at rs150 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men",franck bella fb74c analog watch for boys men buy franck bella fb74c analog watch for boys men fb74c online at rs780 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
33d97d63c037078cd3f08033966d6a88,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,ridas aplledblack apple shape digital watch for boys buy ridas aplledblack apple shape digital watch for boys aplledblack online at rs249 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
d7ca2b06b4f4d3b98c61c377b18a2d6b,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",skmei ad1057darkorange sports analogdigital watch for men boys buy skmei ad1057darkorange sports analogdigital watch for men boys ad1057darkorange online at rs1199 in india only at flipkartcom digital chronograph alarm watch light function date month display great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
f74476ba64365d97a5be7d375cbf4c7a,Now SP-ETHNIC Analog Watch  - For Boys,now spethnic analog watch for boys buy now spethnic analog watch for boys spethnic online at rs600 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
fda50982a672ef8835de5c1cc86f8bfc,"Franck Bella FB127A Analog Watch  - For Boys, Men",franck bella fb127a analog watch for boys men buy franck bella fb127a analog watch for boys men fb127a online at rs999 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
4788f5466992da09024b8ffcc8a5cba4,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",skmei dg0939red sports digital watch for men boys buy skmei dg0939red sports digital watch for men boys dg0939red online at rs999 in india only at flipkartcom digital chronograph alarm watch light function date month display great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
653826cd53f1d9e2c086c0ac7846ef70,"fastrack 38015PL01 Analog Watch  - For Men, Boys",fastrack 38015pl01 analog watch for men boys buy fastrack 38015pl01 analog watch for men boys 38015pl01 online at rs2495 in india only at flipkartcom stainless steel back cover hybrid case construction for a sportier and more rugged look with increased shock resistance high precision quartz analogue movement great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
3c74db45cbfc14a78b8466dca494b3bb,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",alfajr wq18 qibla compass digital watch for men boys girls buy alfajr wq18 qibla compass digital watch for men boys girls wq18 online at rs7495 in india only at flipkartcom qibla compass light azan time calculation great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls",disney 98189 analog watch for boys girls buy disney 98189 analog watch for boys girls 98189 online at rs900 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
7c4fec2331da8d40f2cb146eb198cb57,Disney DW100405 Digital Watch  - For Boys,disney dw100405 digital watch for boys buy disney dw100405 digital watch for boys dw100405 online at rs1345 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
b52073e7ed9c00c4108cae4eb0c49c1a,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",vizion 85027purple sports series digital watch for boys girls price rs 595 brand vizionsports series watch for kids1 year manufacturer warrantydigital displayautomatic movementmetal case and solid body dial shaperounddial dimension22mm strap materialsilicone strap width20mmwater resistantnight display cold backlight daily alarmhour minute second date week display 1224 hour formatattractive brand packaging tuff plastic boxnote in case of nonreceipt of warranty card please intimate us within 48 hoursdisclaimer product color may slightly vary due to photographic lighting sources or your monitor settings the image has been enlarged for better viewing brand vizionsports series watch for kids1 year manufacturer warrantydigital displayautomatic movementmetal case and solid body dial shaperounddial dimension22mm strap materialsilicone strap width20mmwater resistantnight display cold backlight daily alarmhour minute second date week display 1224 hour formatattractive brand packaging tuff plastic boxnote in case of nonreceipt of warranty card please intimate us within 48 hoursdisclaimer product color may slightly vary due to photographic lighting sources or your monitor settings the image has been enlarged for better viewing,Watches
ee8d9ff65e0fe4278afce7c933d30941,"Elantra S 10 Analog Watch  - For Boys, Men",elantra s 10 analog watch for boys men buy elantra s 10 analog watch for boys men s 10 online at rs950 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
788dc3a3da91c0f46a7c465e07f91dd4,"Marvel DW100243 Digital Watch  - For Boys, Girls",marvel dw100243 digital watch for boys girls buy marvel dw100243 digital watch for boys girls dw100243 online at rs299 in india only at flipkartcom buckle clasp multicolor strap contemporary dial great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
29b1ca231e10d5269516b80bf9d0dffc,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",lenco bdblue tango analog watch for men boys buy lenco bdblue tango analog watch for men boys bdblue online at rs599 in india only at flipkartcom sports watch casual watch big size dial colourful strap great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
8b268c1e68f198ae2e934717d49f48e9,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys",dsigner 681gmwht analog watch for men boys buy dsigner 681gmwht analog watch for men boys 681gmwht online at rs6645 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
b85f8843bb1c297dd5712f0bd287006d,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,key features of santosh royal fashion cotton embroidered diwan set color multicolor no of contents 8 diwan sheet length225 cm cushion cover length40 cmsantosh royal fashion cotton embroidered diwan set price rs 979 add oodles of style to your home with an exciting range of designer furniture furnishings decor items and kitchenware we promise to deliver best quality products at best pricesspecifications of santosh royal fashion cotton embroidered diwan set general brand santosh royal fashion material cotton pattern embroidered style code dsnsan34 color multicolor dimensions bolster cover length 23 inch 40 cm cushion cover width 15 inch 40 cm diwan sheet length 88 inch 225 cm cushion cover length 15 inch 40 cm diwan sheet width 59 inch 150 cm in the box number of contents in sales package pack of 8 sales package 1 diwan sheet5 cushion covers 2 bolster covers additional features fabric care machine washable do not soak,Home Furnishing
a4b09aa7927c59fbb39960b3d7919909,House This Queen Cotton Duvet Cover,key features of house this queen cotton duvet cover material100 cotton outerinner polyfill thrade 210 dimension duvet cover 229x274 cms 1 double duvet coverspecifications of house this queen cotton duvet cover grey general brand house this closure button design code p21821 material cotton pattern printed thread count 210 style code dcosmart stripeblack grey size queen color grey dimensions length 107 inch 274 cm width 90 inch 229 cm in the box number of contents in sales package pack of 1 fabric care machine washable do not soak additional features reversible no,Home Furnishing
81e739c7f3be737152f2e6f520e3494b,Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527,buy riva carpets cotton free bath mat classic loop shag bathmatri527 at rs 1799 at flipkartcom only genuine products free shipping cash on delivery,Home Furnishing
f0938b0d88eac91deee6d5add54097d3,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,myesquire ceramic burner pot lemongrass liquid air freshener 30 ml price rs 245 illuminate every corner of your living room in style with this home fragrance electric burner combo with fragrance that is brought to you by myesquire this is a very unique useful and value for money product for home decoration and fragrance this unique combo contains aroma burner with all accessories and is ready to use put a small amount 12 tea spoon of aroma oil on the bowl surface and light the tea light and after few minutes as the oil heats up the fragrance will spread in the room and you will be all set to enjoy the captivating aroma keep it away from children as surface becomes hot illuminate every corner of your living room in style with this home fragrance electric burner combo with fragrance that is brought to you by myesquire this is a very unique useful and value for money product for home decoration and fragrance this unique combo contains aroma burner with all accessories and is ready to use put a small amount 12 tea spoon of aroma oil on the bowl surface and light the tea light and after few minutes as the oil heats up the fragrance will spread in the room and you will be all set to enjoy the captivating aroma keep it away from children as surface becomes hot,Home Decor & Festive Needs
e9420e9483f16db81c64dddf99f34841,Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set,key features of dungri india craft ducjug010ducgl0122 jug glass set jug height 8 inches dia 42 inches depth 75 inches width 7 inchescapacity 1744 ml weight 430 gramsdungri india craft ducjug010ducgl0122 jug glass set copper price rs 1399 copper utensils and serving copper ware helped to prevent the spread of diseases in many tests it showed that 999 of the bacteria on copper alloy surfaces with 65 or greater copper content were eliminated within 2 hours of exposure according to research at southampton university in the uk mrsa microbes remain alive on stainless steel surfaces for up to three days whereas the same microbes on a copper surface are eliminated within 90 minutes these copper serving ware are preferred because it is durable and it has excellent characteristics the ageless use of copper bears testimony to its myriad virtues and everlasting appeal its therapeutic value has been handed down to us through the ages in fact water stored in copper ware is virtually the elixir of life purified it helps to regulate digestion and cardiac orders the basis of good health as practiced by ayurveda and rishits from old vedic times care tips clean your copperware by hand and avoid dishwasher as the detergent can cause oxidation leading to permanat damage use a solution of equal quantities vinegar or lemon juice and salt diluted with some water at such times but dont use it regularly avoid scratchy cleaners like steel wool a simple soft cleaning liquid on soap base hot water and a soft washing cloth is best for daily usespecifications of dungri india craft ducjug010ducgl0122 jug glass set copper general brand dungri india craft number of glasses 2 model number ducjug010ducgl0122 type jug glass set glass shape tumblers material copper capacity per glass 320 ml jug capacity 17 l color gold dimensions jug height 203 mm glass diameter 50 mm jug depth 190 mm other dimensions glass dia 2 height 4 capacity 320 ml weight 75 grams in the box 1 jug 2 glass set additional features microwave safe no care instructions for better washing result wash with pitambari cleaning power,Kitchen & Dining
a3dea07b2f7bf48276d32513091be717,BFT 6 W LED Bulb,key features of bft 6 w led bulb pack of 1 bulbbft 6 w led bulb white price rs 350 introducing new technology in led lighting led filament best suited for chandeliers table lamps and light fixtures in general as it spreads light 360degreesspecifications of bft 6 w led bulb white general brand bft model number bftcw6 body and design features material glass bulb base b22 lighting features light color white bulb type led lumen 700 power features power consumption 6 w in the box sales package 1 bulb pack of 1,Kitchen & Dining
66191b4a311b5d9babfc00a71ef97c5b,JMD Printed Cushions Cover,key features of jmd printed cushions cover printed 40x40cm size made of cottonspecifications of jmd printed cushions cover pack of 2 40 cm40 cm multicolor general brand jmd suitable for cushions design code c03 type square material cotton style code c03 pattern printed color multicolor dimensions height 15 inch 40 cm width 15 inch 40 cm additional features reversible no in the box number of contents in sales package pack of 2 sales package cushion pillow cover,Home Furnishing
90e56526f4c5892beac49f262b85150a,Mom and Kid Baby Girl's Printed Green Top & Pyjama Set,key features of mom and kid baby girls printed green top pyjama set fabric cotton brand color greenmom and kid baby girls printed green top pyjama set price rs 309 girls pyjama setspecifications of mom and kid baby girls printed green top pyjama set general details pattern printed ideal for baby girls night suit details fabric cotton type top pyjama set neck round neck in the box 1 top pyjama set,Baby Care
a79117ea49a0533f641facdb4c99f502,Kripa's Printed Cushions Cover,key features of kripas printed cushions cover length 45 cm width 45 cmspecifications of kripas printed cushions cover pack of 2 45 cm45 cm grey general brand kripas suitable for cushions design code ccmh02 type square material cotton style code ccmh02 pattern printed color grey dimensions height 17 inch 45 cm width 17 inch 45 cm additional features reversible yes in the box number of contents in sales package pack of 2,Home Furnishing
5325213d84c80ad310b6e4b37a1ac824,"Mom and Kid Baby Girl's Printed Blue, Grey Top & Pyjama Set",key features of mom and kid baby girls printed blue grey top pyjama set fabric cotton brand color blue greymom and kid baby girls printed blue grey top pyjama set price rs 309 girls pyjamasetspecifications of mom and kid baby girls printed blue grey top pyjama set general details pattern printed ideal for baby girls night suit details number of contents in sales package pack of 1 fabric cotton type top pyjama set neck round nack in the box 1 top pyjama set,Baby Care
2d50e4c6ccf8befe9335ac8f97a11712,Burt s Bees Hair Repair Shea And Grapefruit Deep Conditioner,key features of burt s bees hair repair shea and grapefruit deep conditioner ideal for boys girls applied for deep conditioning hair condition damaged hair hair type dry hairspecifications of burt s bees hair repair shea and grapefruit deep conditioner 1475 ml conditioner traits hair condition damaged hair hair type dry hair applied for deep conditioning ideal for boys girls general traits brand burt s bees quantity 1475 ml model name hair repair shea and grapefruit deep conditioner in the box 1 conditioner,Beauty and Personal Care
8050d31bffe6827c804b8222338aafb2,AKUP i-loves-music Ceramic Mug,key features of akup ilovesmusic ceramic mug pack of 1 mugakup ilovesmusic ceramic mug 300 ml price rs 259 akup ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones we provide good quality of products with packing coffee mugs made of ceramic clay with the volume capacity of 300ml each you can buy it for yourself to make your moment unforgettable forever specifications product dimensions mugs height 95 cms diameter 8 cms item type coffee mug color multicolor material clay finish glossy specialty lovely style wash care remove dirt by using a soft fabric to clean and then wipe with a moist cloth disclaimer the fine design pattern and color tone of the product may vary slightly from that shown in the image however there would not be any compromise in quality brand akup designs cospecifications of akup ilovesmusic ceramic mug 300 ml general type mug mug capacity 300 ml material ceramic freezer safe yes microwave safe no dimensions diameter 8 mm weight 330 g height 95 mm depth 8 mm in the box sales package 1 mug,Kitchen & Dining
493d1eb6ad7a48a926092bf994cd0bb0,AKUP i-love-my-mom Ceramic Mug,key features of akup ilovemymom ceramic mug pack of 1 mugakup ilovemymom ceramic mug 300 ml price rs 259 akup ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones we provide good quality of products with packing coffee mugs made of ceramic clay with the volume capacity of 300ml each you can buy it for yourself to make your moment unforgettable forever specifications product dimensions mugs height 95 cms diameter 8 cms item type coffee mug color multicolor material clay finish glossy specialty lovely style wash care remove dirt by using a soft fabric to clean and then wipe with a moist cloth disclaimer the fine design pattern and color tone of the product may vary slightly from that shown in the image however there would not be any compromise in quality brand akup designs cospecifications of akup ilovemymom ceramic mug 300 ml general type mug mug capacity 300 ml material ceramic freezer safe yes microwave safe no dimensions diameter 8 mm weight 330 g height 95 mm depth 8 mm in the box sales package 1 mug,Kitchen & Dining
3388d05e88972ff9f3e1321dc0cfdc28,AKUP keep-calm Ceramic Mug,key features of akup keepcalm ceramic mug pack of 1 mugakup keepcalm ceramic mug 300 ml price rs 259 akup ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones we provide good quality of products with packing coffee mugs made of ceramic clay with the volume capacity of 300ml each you can buy it for yourself to make your moment unforgettable forever specifications product dimensions mugs height 95 cms diameter 8 cms item type coffee mug color multicolor material clay finish glossy specialty lovely style wash care remove dirt by using a soft fabric to clean and then wipe with a moist cloth disclaimer the fine design pattern and color tone of the product may vary slightly from that shown in the image however there would not be any compromise in quality brand akup designs cospecifications of akup keepcalm ceramic mug 300 ml general type mug mug capacity 300 ml material ceramic freezer safe yes microwave safe no dimensions diameter 8 mm weight 330 g height 95 mm depth 8 mm in the box sales package 1 mug,Kitchen & Dining
d1899ab1d5c79ddaa311bc9f04d198ed,D-Link DAP1320,key features of dlink dap1320 qrs appiosandroidspecifications of dlink dap1320 white speed wireless speed 300 mbps dsl modem speed 300 mbps general brand dlink in the box extender plug model dap1320 type range extendersrepeaters color white warranty covered in warranty no damage warranty summary 3years service type no damage not covered in warranty damaged will not repair dimensions weight 69 g connectivity number of antennae 2 number of usb ports 0 antennae internal supported protocols standard ieee ieee 80211ngb operating conditions operating humidity operating 10 to 90 noncondensing storage 5 to 95 noncondensing temperature operating 0 to 40 c 32 to 104 fstorage 20 to 65 c 4 to 149 f degree c additional features certification fcc ic ce,Computers
e7cab08a267e815c72a26513222783e0,AKUP league-of-legends Ceramic Mug,key features of akup leagueoflegends ceramic mug pack of 1 mugakup leagueoflegends ceramic mug 300 ml price rs 259 akup ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones we provide good quality of products with packing coffee mugs made of ceramic clay with the volume capacity of 300ml each you can buy it for yourself to make your moment unforgettable forever specifications product dimensions mugs height 95 cms diameter 8 cms item type coffee mug color multicolor material clay finish glossy specialty lovely style wash care remove dirt by using a soft fabric to clean and then wipe with a moist cloth disclaimer the fine design pattern and color tone of the product may vary slightly from that shown in the image however there would not be any compromise in quality brand akup designs cospecifications of akup leagueoflegends ceramic mug 300 ml general type mug mug capacity 300 ml material ceramic freezer safe yes microwave safe no dimensions diameter 8 mm weight 330 g height 95 mm depth 8 mm in the box sales package 1 mug,Kitchen & Dining
02a53d335775b652f22f41b529b9d646,Suave Naturals Everlasting Sunshine Conditioner,key features of suave naturals everlasting sunshine conditioner ideal for boys girls applied for conditioning hair condition damaged hair hair type dry hairspecifications of suave naturals everlasting sunshine conditioner 665 ml conditioner traits hair condition damaged hair hair type dry hair applied for conditioning ideal for boys girls general traits brand suave quantity 665 ml model name naturals everlasting sunshine conditioner in the box 1 conditioner,Beauty and Personal Care
69446af66066146718cd569f87e99fff,AKUP life-is-not-living Ceramic Mug,key features of akup lifeisnotliving ceramic mug pack of 1 mugakup lifeisnotliving ceramic mug 300 ml price rs 259 akup ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones we provide good quality of products with packing coffee mugs made of ceramic clay with the volume capacity of 300ml each you can buy it for yourself to make your moment unforgettable forever specifications product dimensions mugs height 95 cms diameter 8 cms item type coffee mug color multicolor material clay finish glossy specialty lovely style wash care remove dirt by using a soft fabric to clean and then wipe with a moist cloth disclaimer the fine design pattern and color tone of the product may vary slightly from that shown in the image however there would not be any compromise in quality brand akup designs cospecifications of akup lifeisnotliving ceramic mug 300 ml general type mug mug capacity 300 ml material ceramic freezer safe yes microwave safe no dimensions diameter 8 mm weight 330 g height 95 mm depth 8 mm in the box sales package 1 mug,Kitchen & Dining
b4d35b6536b623c83b293eb3a1c02bba,RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard,key features of roq slim multimedia 105key flexible wired usb flexible keyboard size handheldroq slim multimedia 105key flexible wired usb flexible keyboard white price rs 399 working environment it fits easily in your briefcase or backpack the keyboard can be cleaned with water alcohol or disinfectant to help prevent the spread of the disease and germs it is suitable for public place use such as school restaurant or hospital where clean keyboard is a requirement this sealed keyboard can be easily cleaned also good for use in dusty area such as factory or outdoor quiet keystroke is a good match for library use if you are not used to this keyboard you may push these keys a tiny bit harder to get output dustproof washable usb plug weight 045lbs 200g operation temperature is 20c 60c storage temperature is 30c 70cspecifications of roq slim multimedia 105key flexible wired usb flexible keyboard white general specifications interface wired usb brand roq model slim multimedia 105key flexible sales package 1 keyboard type flexible keyboard model name slim multimedia flexible keyboard color white size handheld warranty covered in warranty manufacturing damage warranty summary 10 days replacement warranty service type replacement not covered in warranty physical damage,Computers
